pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.002    0.000 __init__.py:1317(safe_name)
        1    0.000    0.000    0.002    0.002 fnmatch.py:11(<module>)
       46    0.001    0.000    0.002    0.000 __init__.py:685(add)
        1    0.000    0.000    0.002    0.002 pkgdata.py:34(getResource)
       94    0.002    0.000    0.002    0.000 version.py:343(_cmpkey)
        5    0.002    0.000    0.002    0.000 {built-in method io.open}
       14    0.000    0.000    0.002    0.000 pyparsing.py:2026(__call__)
        2    0.000    0.000    0.002    0.001 pyparsing.py:2863(__init__)
     2220    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     5297    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 arraysetops.py:27(<module>)
     2590    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.002    0.000 pyparsing.py:3353(setResultsName)
       38    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      120    0.000    0.000    0.002    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.002    0.002 ufunclike.py:5(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 result.py:1(<module>)
      291    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       69    0.001    0.000    0.002    0.000 pyparsing.py:2412(__init__)
      471    0.001    0.000    0.002    0.000 copyreg.py:87(__newobj__)
      198    0.000    0.000    0.002    0.000 __init__.py:2313(_normalize_cached)
      247    0.001    0.000    0.002    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.002    0.002 sndarray.py:45(<module>)
       92    0.001    0.000    0.002    0.000 genericpath.py:117(_splitext)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
      599    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
     1122    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      148    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.001    0.001 main.py:20(load_textures)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4230(__init__)
      200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       59    0.001    0.000    0.001    0.000 sre_parse.py:267(getuntil)
       30    0.000    0.000    0.001    0.000 __init__.py:1476(_validate_resource_path)
        2    0.000    0.000    0.001    0.001 main.py:21(<lambda>)
